GSE233233_UP_Gene_Name_leaf_Salt.stress_vs_control,GSE152620_UP_Gene_Name_leaf_Salt.stress_vs_control,GSE148353_UP_Gene_Name_leaf_Salt.stress_vs_control,3_GSE106149_Up_Gene_Name_ROOT_WT,7_GSE106149_Up_Gene_Name_Leaflet_WT,1_GSE16401_Up_Gene_Name_MoneyMaker_Whole_Plant
name,x,name,SPOT_ID,SPOT_ID,name
Solyc12g098900.2,Solyc11g066390.2,Solyc04g040180.3,Solyc01g100090,Solyc06g051680,Solyc09g082330.2
Solyc06g050130.3,Solyc01g049770.3,Solyc12g013620.2,Solyc09g090990.2,Solyc02g014860.2,Solyc08g036640.3
Solyc08g076870,Solyc01g067740.3,Solyc01g102290.3,Solyc09g082280.2,Solyc08g007240.2,Solyc02g064830.3
Solyc10g074790.2,Solyc06g053700,Solyc03g032090,Solyc07g009500,Solyc01g006680.2,AOS1
Solyc08g076880.3,Solyc12g089110,Solyc07g065500.2,Solyc07g006140.2,Solyc01g108910.2,Solyc02g085630.3
Solyc07g065930.3,Solyc04g078640.3,Solyc02g086880.3,Solyc07g009510,Solyc05g024010.2,Solyc06g068160.3
Solyc05g009650.3,Solyc03g095650.3,Solyc07g043310.3,Solyc11g044910,Solyc03g081240.2,Solyc09g064820
Solyc07g007120.3,Solyc04g080280.3,Solyc06g061280.3,Solyc04g072280.2,Solyc00g050130,Solyc01g100830.2
Solyc06g050800.3,Solyc07g007270.3,Solyc03g097270.3,Solyc07g062480,Solyc06g071820.2,Solyc07g063410.3
Solyc05g015390.3,Solyc12g088250.2,Solyc07g042550.3,Solyc10g051020,Solyc08g082680.2,Solyc09g089910
Solyc02g081170.3,Solyc03g007030.3,Solyc01g096320.3,Solyc01g097470.2,XM_004251501,Solyc06g050520.2
Solyc10g081980.2,Solyc09g092500,Solyc08g068730,Solyc02g086880.2,Solyc09g082810.2,Solyc03g116890.3
Solyc03g098240.3,Solyc01g060070.3,Solyc07g049440.3,Solyc06g050440.2,Solyc01g095320.2,Solyc05g052950.3
Solyc07g064900.3,Solyc09g092480,Solyc10g078590.2,Solyc08g078040.2,Solyc00g272810,Solyc08g007820
Solyc03g111100,Solyc02g093700.3,Solyc03g116630.3,Solyc00g048510.2,Solyc06g006000.2,Solyc10g055740.2
Solyc07g063410.3,Solyc01g014270.3,Solyc09g075890.3,Solyc04g071900.2,Solyc05g009310.2,Solyc04g078360.2
Solyc09g075890.3,Solyc07g053290.3,Solyc03g096670.3,Solyc07g007760.2,Solyc12g089220,Solyc02g036370.3
Solyc08g067960.3,Solyc01g099930.3,Solyc07g052350.3,Solyc06g035960.2,Solyc04g078880.2,Solyc02g090770
Solyc03g095650.3,Solyc08g079830.4,Solyc10g050160.2,Solyc01g090810.2,Solyc04g071990.2,None
Solyc02g093180.3,Solyc01g005010.4,Solyc02g070580,Solyc02g087070.2,Solyc06g053980.2,Solyc11g006720.2
Solyc07g017610.3,Solyc04g081700.3,Solyc03g116100.3,Solyc03g078490.2,Solyc08g005960,ACS2
Solyc01g087180.3,Solyc01g098390.3,Solyc10g074980.2,Solyc01g105660.2,XM_004248657,Solyc04g072895
Solyc01g095150.3,Solyc04g007840.3,Solyc06g076400.3,Solyc08g075320.2,Solyc01g005300.2,Solyc09g082300.3
Solyc07g006280.3,Solyc05g055390.3,Solyc11g005380.2,Solyc11g009100,Solyc07g007150,Solyc09g089580.3
Solyc04g007980.3,Solyc09g008680.4,Solyc03g019950.3,Solyc02g093580.2,Solyc03g116460.2,NCED1
Solyc09g075140.3,Solyc08g007400.4,Solyc09g009390.3,NM_001247898,Solyc07g005930.2,Solyc01g057000.3
Solyc05g007140.3,Solyc12g042780.2,Solyc08g023440.3,Solyc08g068150.2,Solyc10g078590,Solyc07g040710.3
Solyc01g096320.3,Solyc01g099590.4,Solyc10g079820.2,Solyc05g041200.2,Solyc11g011990,Solyc03g007960.3
Solyc03g121360,Solyc10g051300.2,Solyc04g081530,Solyc02g084790.2,Solyc06g068620.2,Solyc02g087540.2
Solyc04g009960.3,Solyc11g065680,Solyc01g107860.3,Solyc06g069070,Solyc03g007230.2,Solyc08g082440.3
Solyc06g075690.3,Solyc07g041925,Solyc06g009380.3,Solyc09g090980.2,Solyc01g067680.2,Solyc03g111730.3
Solyc04g015200.3,Solyc06g005330.3,Solyc02g069370.3,Solyc09g007860.2,Solyc04g071890.2,Solyc04g078840.3
Solyc02g093890,Solyc04g071330.4,Solyc02g065470,Solyc02g084850.2,Solyc06g051660,Solyc08g008280.3
Solyc03g019820.3,Solyc11g073120.2,Solyc03g111100,Solyc05g047530.2,Solyc10g080670,Solyc01g108240.3
Solyc07g062970.3,Solyc09g092490.3,Solyc08g076860.3,Solyc02g082920.2,XM_004245038,Solyc03g083010.3
Solyc12g005910.2,Solyc04g014480.3,Solyc08g067630.3,Solyc11g073150,Solyc01g105660.2,Solyc12g096930.2
Solyc07g040960,Solyc08g074630.2,Solyc10g086420,Solyc02g082450.2,Solyc12g100030,Solyc01g079200.3
Solyc02g080530.3,Solyc02g072270.3,Solyc06g067980.3,Solyc03g119060.2,Solyc03g031990.2,Solyc01g104740.3
Solyc05g052520.3,Solyc09g082630.3,Solyc03g113390.3,Solyc02g079540,Solyc10g079840,Solyc06g075690.3
Solyc07g042550.3,Solyc01g067010.3,Solyc08g082440.3,Solyc02g014730.2,Solyc05g010240.2,Solyc11g011050.2
Solyc01g111980.3,Solyc03g013440.4,Solyc10g084050.2,Solyc10g055820,Solyc10g075090,Solyc01g107170.2
Solyc07g042230,Solyc03g058940.4,Solyc10g081190.2,Solyc03g118190.2,Solyc04g081550.2,Solyc06g071750.3
Solyc09g005000,Solyc12g042110.3,Solyc09g011240.3,Solyc04g040130,XM_004240350,Solyc11g071760.2
Solyc05g013480.3,Solyc04g005610.3,Solyc06g071230.3,Solyc01g095320.2,Solyc10g083730,Solyc05g008390.3
Solyc01g066430.3,Solyc06g083060.4,Solyc08g078510.3,Solyc05g054470.2,Solyc09g090080,Solyc08g083110.3
Solyc01g096810.3,Solyc07g022830.3,Solyc12g056250.2,Solyc02g077420.2,Solyc03g031600.2,Solyc08g083115
Solyc08g076860.3,Solyc01g091030.3,Solyc09g061280.3,Solyc12g009300,Solyc04g017690.2,Solyc03g019820.3
Solyc07g062700.3,Solyc02g085770.4,Solyc01g066720.3,Solyc11g056650,Solyc08g082650.2,Solyc06g053240.3
Solyc10g074740,Solyc03g095940,Solyc06g062670.3,Solyc08g083210.2,Solyc01g100230.2,Solyc06g053245
Solyc07g044990.3,Solyc01g080410.3,Solyc04g082890.3,Solyc03g120020.2,Solyc10g085880,Solyc03g115850.3
Solyc01g099370.3,Solyc04g077170.3,Solyc08g074290.3,Solyc12g014010,XM_004232637,Solyc06g074940.3
Solyc02g081560,Solyc09g013110.3,Solyc06g007510.3,Solyc03g019690,Solyc03g118170.2,Solyc01g109720.3
Solyc03g119250.3,Solyc04g076080.3,Solyc06g082600.3,Solyc06g074390.2,Solyc01g006020.2,Solyc09g011490.3
