GeneID,GSM4462432,GSM4462433,GSM4462434,GSM4462435,GSM4462436,GSM4462437,GSM4462438,GSM4462439,GSM4462440
100037489,57.37,32.65,44.61,45.91,35.93,43.44,143.14,152.71,217.2
100037490,22.84,31.11,26.57,24.5,25.03,26.91,18.84,17.01,16.98
100037491,17.65,23.87,19.58,15.49,10.31,15.5,3.86,5.23,4.43
100037492,45.19,40.33,45.68,27.13,26.34,29.16,49.27,43.69,40.4
100037494,228.02,220.65,231.25,82.46,56.4,89.26,50.96,31.91,12.94
100037495,39.71,36.92,34.61,37.17,37.51,39.15,30.27,29.43,29.39
100037496,0,0,0,0.11,0.04,0.11,0.04,0.25,0.04
100037497,18.86,28.52,20.58,42.08,40.44,46.85,17.35,16.7,13.9
100037498,152.08,129.73,128.02,100.43,88.76,100.16,25.02,28.49,29.88
100037499,75.04,70.8,70.05,109.97,99.44,106.64,92.95,96.31,101.87
100037501,50.2,33.53,51.15,11.66,11.97,12.27,47.45,51.21,55.99
100037502,55.69,61.67,66.12,31.47,36.37,33.36,12.17,9.24,7.28
100037503,3.25,4.1,2.92,2.07,1.37,1.75,0.37,0.43,0.18
100037504,19.93,11.7,15.52,13.63,16.97,14.45,25.95,23.15,23.4
100037505,1.69,2.28,1.16,1.62,2.19,2.19,0.45,0.15,0.59
100037506,50.51,40.74,50,31.81,36.35,32.07,194.15,190.37,213.15
100037507,0,0.07,0,0,0.04,0.07,0,0.03,0.07
100037508,2.17,3.03,3.08,1.26,0.88,0.98,0.77,0,0.19
100037509,27.12,33.28,23.07,44.4,42.46,39.16,19.75,10.85,17.95
100037510,56.75,36.18,53.39,34.35,36.2,37.46,58.88,68.85,71.07
100037511,16.35,14.43,15.12,1.79,1.7,3.19,5.25,4.46,6.45
100037512,1.77,2.62,1.98,7.53,5.76,6.84,4.09,3.61,2.43
100037513,0.63,1.08,1.09,0.8,1.34,1.13,2.78,0.62,0.69
100037514,0,0,0,0,0,0.07,0,0,0
100037515,72.75,116.18,60.61,563.13,442.46,423.59,605.29,646.89,733.25
100037516,16.81,15.14,16.99,30.94,33.61,30.77,19.5,18.02,21.01
100037517,5.77,5.55,5.61,3.83,3.57,4.88,2.88,2.95,4.94
100037726,5.9,6.82,4.48,5.51,5.7,3.95,13.53,12.32,13.02
100037727,39.09,30.85,37.84,22.01,21.8,22.14,40.62,35.66,37.67
100037728,0.29,0.09,0.47,0.63,0.54,0.73,5.88,5.02,8.57
100037730,139.71,151.19,143.18,118.4,83.79,123.35,101.31,94.05,81.4
100037731,16.52,12.08,16.77,93.1,79.81,82.58,36.39,32.5,30.91
100037732,16.69,17.47,16.83,18.63,23.65,18.87,39.9,34.28,38.91
100037733,86.57,69.05,88.59,14.39,8.11,13.51,105.58,87.72,47.88
100037735,21.42,12.14,21.9,7.35,3.43,5.07,17.35,11.06,18.08
100037736,0,0,0,0.9,0.12,1.16,1.69,3.73,5.6
100037737,246.97,201.82,193.58,89.89,86.59,114.91,149.49,167.7,104.99
100125891,674.28,552.26,563.12,322.39,255.57,407.51,108.59,112.03,102.56
100125904,6.24,9.63,10.05,6.97,10.03,9.91,23.31,18.12,6.43
100125906,2.33,3.72,3.12,333.15,380.82,279.2,248.41,264.09,260.78
100125909,1875.18,1131.85,1842.59,660.02,533.57,584.46,220.61,295.6,200.02
100125910,3.1,2.75,2.55,1.81,1.77,1.76,3.56,3.29,3.49
100125911,30.12,21.4,26.79,15.77,11.93,14.41,29.55,24.59,23.24
100134872,1.09,0.73,0.79,2.33,3.23,3.65,8.5,11.22,7.56
100134875,80.13,153.84,74.5,27.32,39.46,41.33,118.17,55.97,42.24
100134876,34.41,27.38,29.78,30.32,26.75,27.35,43.76,44.87,37.29
100134877,265.33,241.38,243.19,134.14,115.06,132.22,111.77,106.64,85.4
100134879,173.43,128.67,157.03,102.52,101.5,103.5,114.79,102.49,98.49
