Sample Name,source_name,tissue,Treatment,Time
GSM4462432,Micro-TOM,leaf,CK01 ,0h
GSM4462433,Micro-TOM,leaf,CK02 ,0h
GSM4462434,Micro-TOM,leaf,CK03 ,0h
GSM4462435,Micro-TOM,leaf,CK21 ,2h
GSM4462436,Micro-TOM,leaf,CK22 ,2h
GSM4462437,Micro-TOM,leaf,CK23 ,2h
GSM4462438,Micro-TOM,leaf,CK81 ,8h
GSM4462439,Micro-TOM,leaf,CK82 ,8h
GSM4462440,Micro-TOM,leaf,CK83 ,8h
GSM4462441,Micro-TOM-EX,leaf,Z01 ,0h
GSM4462442,Micro-TOM-EX,leaf,Z02 ,0h
GSM4462443,Micro-TOM-EX,leaf,Z03 ,0h
GSM4462444,Micro-TOM-EX,leaf,Z21 ,2h
GSM4462445,Micro-TOM-EX,leaf,Z22 ,2h
GSM4462446,Micro-TOM-EX,leaf,Z23 ,2h
GSM4462447,Micro-TOM-EX,leaf,Z81 ,8h
GSM4462448,Micro-TOM-EX,leaf,Z82 ,8h
GSM4462449,Micro-TOM-EX,leaf,Z83 ,8h
